Academic Discipline,Year,Female,Male,Total
Mechanical Engineering,1966,26,"10,228","10,254"
Mechanical Engineering,1967,28,"10,392","10,420"
Mechanical Engineering,1968,39,"10,422","10,461"
Mechanical Engineering,1969,44,"11,194","11,238"
Mechanical Engineering,1970,51,"11,992","12,043"
Mechanical Engineering,1971,51,"12,214","12,265"
Mechanical Engineering,1972,77,"11,817","11,894"
Mechanical Engineering,1973,90,"11,598","11,688"
Mechanical Engineering,1974,100,"10,383","10,483"
Mechanical Engineering,1975,109,"9,475","9,584"
Mechanical Engineering,1976,184,"9,270","9,454"
Mechanical Engineering,1977,302,"10,083","10,385"
Mechanical Engineering,1978,544,"11,008","11,552"
Mechanical Engineering,1979,699,"12,024","12,723"
Mechanical Engineering,1980,"1,006","13,552","14,558"
Mechanical Engineering,1981,"1,286","15,039","16,325"
Mechanical Engineering,1982,"1,434","15,815","17,249"
Mechanical Engineering,1983,"1,662","17,496","19,158"
Mechanical Engineering,1984,"2,028","18,485","20,513"
Mechanical Engineering,1985,"2,061","18,972","21,033"
Mechanical Engineering,1986,"1,988","18,479","20,467"
Mechanical Engineering,1987,"2,004","17,838","19,842"
Mechanical Engineering,1988,"2,101","17,526","19,627"
Mechanical Engineering,1989,"2,050","17,757","19,807"
Mechanical Engineering,1990,"2,123","17,169","19,292"
Mechanical Engineering,1991,"2,018","16,953","18,971"
Mechanical Engineering,1992,"1,994","17,340","19,334"
Mechanical Engineering,1993,"2,105","17,974","20,079"
Mechanical Engineering,1994,"2,242","18,508","20,750"
Mechanical Engineering,1995,"2,229","18,481","20,710"
Mechanical Engineering,1996,"2,273","17,417","19,690"
Mechanical Engineering,1997,"2,156","16,529","18,685"
Mechanical Engineering,1998,"2,191","15,840","18,031"
Mechanical Engineering,1999,"2,216","15,208","17,424"
Mechanical Engineering,2000,"2,345","15,100","17,445"
Mechanical Engineering,2001,"2,294","15,357","17,651"
Mechanical Engineering,2002,"2,363","15,446","17,809"
Mechanical Engineering,2003,"2,427","16,346","18,773"
Mechanical Engineering,2004,"2,629","17,259","19,888"
Mechanical Engineering,2005,"2,675","18,056","20,731"
Mechanical Engineering,2006,"2,913","19,087","22,000"
Mechanical Engineering,2007,"2,779","19,812","22,591"
Mechanical Engineering,2008,"2,934","20,675","23,609"
Mechanical Engineering,2009,"2,861","20,861","23,722"
Mechanical Engineering,2010,"3,013","22,021","25,034"
Mechanical Engineering,2011,"3,228","23,727","26,955"
Mechanical Engineering,2012,"3,529","24,937","28,466"
Mechanical Engineering,2013,"3,771","26,230","30,001"
Mechanical Engineering,2014,"4,324","28,440","32,764"
Mechanical Engineering,2015,"4,831","30,861","35,692"
Physics,1966,325,"7,206","7,531"
Physics,1967,393,"7,634","8,027"
Physics,1968,417,"7,976","8,393"
Physics,1969,474,"8,616","9,090"
Physics,1970,524,"8,453","8,977"
Physics,1971,538,"8,214","8,752"
Physics,1972,525,"7,499","8,024"
Physics,1973,477,"6,884","7,361"
Physics,1974,520,"6,219","6,739"
Physics,1975,538,"5,835","6,373"
Physics,1976,565,"5,427","5,992"
Physics,1977,539,"5,145","5,684"
Physics,1978,541,"4,956","5,497"
Physics,1979,600,"4,975","5,575"
Physics,1980,615,"4,804","5,419"
Physics,1981,608,"4,993","5,601"
Physics,1982,683,"4,949","5,632"
Physics,1983,721,"5,413","6,134"
Physics,1984,839,"5,639","6,478"
Physics,1985,839,"5,816","6,655"
Physics,1986,939,"5,822","6,761"
Physics,1987,"1,051","5,990","7,041"
Physics,1988,987,"5,956","6,943"
Physics,1989,"1,049","6,237","7,286"
Physics,1990,"1,113","6,213","7,326"
Physics,1991,"1,103","6,177","7,280"
Physics,1992,"1,153","6,299","7,452"
Physics,1993,"1,190","6,069","7,259"
Physics,1994,"1,213","6,364","7,577"
Physics,1995,"1,155","6,067","7,222"
Physics,1996,"1,195","5,802","6,997"
Physics,1997,"1,119","5,334","6,453"
Physics,1998,"1,176","5,280","6,456"
Physics,1999,"1,190","4,885","6,075"
Physics,2000,"1,211","4,835","6,046"
Physics,2001,"1,274","4,935","6,209"
Physics,2002,"1,358","4,954","6,312"
Physics,2003,"1,412","5,290","6,702"
Physics,2004,"1,575","5,603","7,178"
Physics,2005,"1,583","5,922","7,505"
Physics,2006,"1,660","6,322","7,982"
Physics,2007,"1,754","6,575","8,329"
Physics,2008,"1,700","6,722","8,422"
Physics,2009,"1,631","6,684","8,315"
Physics,2010,"1,798","6,895","8,693"
Physics,2011,"1,787","7,210","8,997"
Physics,2012,"1,893","7,665","9,558"
Physics,2013,"1,999","8,269","10,268"
Physics,2014,"2,100","8,422","10,522"
Physics,2015,"2,245","9,084","11,329"
Computer Science,1966,188,714,902
Computer Science,1967,372,"1,346","1,718"
Computer Science,1968,216,"1,330","1,546"
Computer Science,1969,571,"2,720","3,291"
Computer Science,1970,861,"3,876","4,737"
Computer Science,1971,491,"3,613","4,104"
Computer Science,1972,698,"4,848","5,546"
Computer Science,1973,880,"5,734","6,614"
Computer Science,1974,"1,082","6,149","7,231"
Computer Science,1975,"1,308","6,243","7,551"
Computer Science,1976,"1,524","6,987","8,511"
Computer Science,1977,"2,024","7,416","9,440"
Computer Science,1978,"2,446","8,012","10,458"
Computer Science,1979,"3,068","8,992","12,060"
Computer Science,1980,"4,190","10,910","15,100"
Computer Science,1981,"5,949","13,754","19,703"
Computer Science,1982,"8,446","17,171","25,617"
Computer Science,1983,"16,906","25,934","42,840"
Computer Science,1984,"21,903","33,206","55,109"
Computer Science,1985,"24,502","38,204","62,706"
Computer Science,1986,"24,360","39,933","64,293"
Computer Science,1987,"22,460","38,613","61,073"
Computer Science,1988,"20,050","36,853","56,903"
Computer Science,1989,"17,818","33,916","51,734"
Computer Science,1990,"18,658","33,195","51,853"
Computer Science,1991,"17,702","31,229","48,931"
Computer Science,1992,"17,877","32,434","50,311"
Computer Science,1993,"18,390","33,862","52,252"
Computer Science,1994,"17,931","34,127","52,058"
Computer Science,1995,"18,767","35,149","53,916"
Computer Science,1996,"18,996","35,933","54,929"
Computer Science,1997,"20,073","37,604","57,677"
Computer Science,1998,"22,800","43,105","65,905"
Computer Science,1999,"27,008","50,377","77,385"
Computer Science,2000,"33,420","65,051","98,471"
Computer Science,2001,"38,055","75,591","113,646"
Computer Science,2002,"39,738","86,292","126,030"
Computer Science,2003,"47,071","103,307","150,378"
Computer Science,2004,"42,480","102,249","144,729"
Computer Science,2005,"34,160","93,626","127,786"
Computer Science,2006,"28,275","83,706","111,981"
Computer Science,2007,"23,694","76,882","100,576"
Computer Science,2008,"23,018","76,329","99,347"
Computer Science,2009,"24,085","79,198","103,283"
Computer Science,2010,"25,228","84,966","110,194"
Computer Science,2011,"27,626","95,707","123,333"
Computer Science,2012,"29,523","103,977","133,500"
Computer Science,2013,"30,821","109,663","140,484"
Computer Science,2014,"33,186","117,043","150,229"
Computer Science,2015,"36,773","124,360","161,133"
Biological Sciences,1966,"8,786","21,011","29,797"
Biological Sciences,1967,"9,413","23,306","32,719"
Biological Sciences,1968,"10,710","26,303","37,013"
Biological Sciences,1969,"11,863","29,341","41,204"
Biological Sciences,1970,"12,555","30,872","43,427"
Biological Sciences,1971,"13,109","32,325","45,434"
Biological Sciences,1972,"13,796","33,622","47,418"
Biological Sciences,1973,"15,459","37,144","52,603"
Biological Sciences,1974,"18,092","40,785","58,877"
Biological Sciences,1975,"20,135","42,076","62,211"
Biological Sciences,1976,"21,953","42,978","64,931"
Biological Sciences,1977,"22,863","41,887","64,750"
Biological Sciences,1978,"23,454","38,923","62,377"
Biological Sciences,1979,"23,605","36,398","60,003"
Biological Sciences,1980,"23,348","33,937","57,285"
Biological Sciences,1981,"22,980","30,805","53,785"
Biological Sciences,1982,"22,936","29,170","52,106"
Biological Sciences,1983,"23,071","27,998","51,069"
Biological Sciences,1984,"22,990","27,018","50,008"
Biological Sciences,1985,"23,228","26,029","49,257"
Biological Sciences,1986,"23,338","25,765","49,103"
Biological Sciences,1987,"23,302","25,459","48,761"
Biological Sciences,1988,"23,330","23,905","47,235"
Biological Sciences,1989,"23,042","23,552","46,594"
Biological Sciences,1990,"24,080","24,021","48,101"
Biological Sciences,1991,"25,406","25,150","50,556"
Biological Sciences,1992,"27,880","26,877","54,757"
Biological Sciences,1993,"30,116","29,022","59,138"
Biological Sciences,1994,"32,941","31,505","64,446"
Biological Sciences,1995,"36,092","33,461","69,553"
Biological Sciences,1996,"39,838","36,337","76,175"
Biological Sciences,1997,"42,683","37,024","79,707"
Biological Sciences,1998,"44,168","36,959","81,127"
Biological Sciences,1999,"44,883","35,361","80,244"
Biological Sciences,2000,"44,838","33,213","78,051"
Biological Sciences,2001,"44,138","31,129","75,267"
Biological Sciences,2002,"44,679","29,970","74,649"
Biological Sciences,2003,"47,423","30,822","78,245"
Biological Sciences,2004,"49,001","31,539","80,540"
Biological Sciences,2005,"52,468","33,633","86,101"
Biological Sciences,2006,"55,668","36,457","92,125"
Biological Sciences,2007,"59,161","40,193","99,354"
Biological Sciences,2008,"61,334","42,581","103,915"
Biological Sciences,2009,"63,617","44,159","107,776"
Biological Sciences,2010,"66,091","46,729","112,820"
Biological Sciences,2011,"69,640","48,453","118,093"
Biological Sciences,2012,"74,270","51,913","126,183"
Biological Sciences,2013,"77,802","54,254","132,056"
Biological Sciences,2014,"81,360","56,951","138,311"
Biological Sciences,2015,"85,643","58,656","144,299"
Psychology,1966,"7,943","12,483","20,426"
Psychology,1967,"8,926","14,597","23,523"
Psychology,1968,"11,417","16,976","28,393"
Psychology,1969,"14,199","20,505","34,704"
Psychology,1970,"16,552","22,814","39,366"
Psychology,1971,"19,115","25,259","44,374"
Psychology,1972,"22,654","27,941","50,595"
Psychology,1973,"25,958","30,109","56,067"
Psychology,1974,"29,728","31,483","61,211"
Psychology,1975,"30,902","30,080","60,982"
Psychology,1976,"31,866","28,937","60,803"
Psychology,1977,"32,097","26,778","58,875"
Psychology,1978,"31,774","24,074","55,848"
Psychology,1979,"31,777","21,940","53,717"
Psychology,1980,"32,558","20,591","53,149"
Psychology,1981,"32,865","19,502","52,367"
Psychology,1982,"33,676","18,509","52,185"
Psychology,1983,"34,914","18,453","53,367"
Psychology,1984,"34,755","17,830","52,585"
Psychology,1985,"34,973","17,702","52,675"
Psychology,1986,"35,960","17,441","53,401"
Psychology,1987,"37,734","18,053","55,787"
Psychology,1988,"39,633","17,901","57,534"
Psychology,1989,"43,316","18,863","62,179"
Psychology,1990,"47,816","20,176","67,992"
Psychology,1991,"52,627","20,816","73,443"
Psychology,1992,"56,885","21,805","78,690"
Psychology,1993,"60,092","22,732","82,824"
